what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462264853595
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1462264853676
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264859812
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264859851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462264867198
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264867961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462264868896
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264904768
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264905478
error,log,,,"null",1462264905639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462264947993
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264948937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462264951265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462264968026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462264969707
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264981843
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264983844
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264986464
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462264997297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462265001234
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265002626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265006715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462265011898
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265013146
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265015074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265020559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265027379
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265030951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265033899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265034807
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265049691
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265057997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462265063792
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265064673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265068498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265073933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265083816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265085581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265162834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265166680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265249699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265319586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265322241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265337226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265355875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265356277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265396633
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265399070
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265399911
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265399941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1462265425493
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1462265434849
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265437193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265460529
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265485924
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265489674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462265509954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462265515726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462265520805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265522606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265528024
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265549230
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265555637
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265556212
error,log,,,"null",1462265556337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265673912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265674073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265677896
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265679196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462265701865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265703812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1462265720692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1462265722836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265728842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265730683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265752497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265752682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265756171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265792240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462265795136
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1462265850499
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1462265850511
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1462265850550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265851546
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1462265851799
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1462265852047
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1462265852095
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1462265852098
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1462265852228
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1462265852229
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462265885151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462265890872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266021344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266213401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462266236307
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462266239000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462266248587
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462266249451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462266257006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266284962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266322769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266326000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266339324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1462266339332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266343796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266346074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266346884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266459014
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1462266474565
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462266485660
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1462266487980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1462266494994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1462266507040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266523826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266523830
opened,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266523855
activated,perspective,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.perspective",1462266523855
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1462266527178
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1462266527255
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1462266527293
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266527295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266527303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266538624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266539665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266539943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266547272
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462266682079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266690952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266691130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462266724992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462266747628
opened,view,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui.TypeHierarchy",1462266793689
activated,view,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui.TypeHierarchy",1462266793698
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1462266794572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266798517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266818665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462266901078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462267102689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462267157289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462267313179
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462267332969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.exit",1462267333511
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1462267333607
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1462267333648
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1462267333648
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1462267333648
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1462267333688
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1462267333718
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1462267333718
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1462267333718
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1462267333718
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1462267333718
